index,nodeid,testname,iodepth,device,count,mean_mean,mean_min,stdev_mean,stdev_max,disk_type,disk_name,disk_model,units
8899,ms0330,randwrite,4096,/dev/sda2,77,2015.65480519,2006.78,57.5572570441,64.9014,SSD,/dev/sda,XR0120GEBLT,KB/s
8898,ms0330,randwrite,1,/dev/sda2,77,2002.45818182,1995.02,11.3221902959,21.3558,SSD,/dev/sda,XR0120GEBLT,KB/s
8897,ms0330,randread,4096,/dev/sda2,77,97984.461039,90747.0,63133.5629852,63752.4,SSD,/dev/sda,XR0120GEBLT,KB/s
8896,ms0330,randread,1,/dev/sda2,77,73968.7298701,73289.3,36764.4089073,37114.0,SSD,/dev/sda,XR0120GEBLT,KB/s
4757,c220g2-011324,randread,4096,/dev/sdc,77,305722.480519,305334.0,4436.24736524,4569.2,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4768,c220g2-011324,read,4096,/dev/sdb,77,180223.727273,177258.0,7489.79152197,9017.51,HDD,/dev/sdb,HUC101212CSS600,KB/s
4755,c220g2-011324,randread,4096,/dev/sda4,77,2868.55935065,2793.91,142.639930056,168.104,HDD,/dev/sda,HUC101212CSS600,KB/s
4753,c220g2-011324,randread,1,/dev/sdb,77,937.269025974,933.212,39.4055999216,52.3992,HDD,/dev/sdb,HUC101212CSS600,KB/s
4752,c220g2-011324,randread,1,/dev/sda4,77,930.312922078,927.083,38.03351425,49.4514,HDD,/dev/sda,HUC101212CSS600,KB/s
4754,c220g2-011324,randread,1,/dev/sdc,77,30403.9038961,20947.7,524.438201922,1944.3,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4739,c220g2-011323,randwrite,4096,/dev/sdc,75,233207.666667,231439.0,4576.41068706,5578.88,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4728,c220g2-011323,randread,1,/dev/sda4,75,935.32408,932.06,36.7042893888,49.1968,HDD,/dev/sda,HUC101212CSS600,KB/s
4729,c220g2-011323,randread,1,/dev/sdb,75,932.619386667,928.647,37.5703386227,50.8624,HDD,/dev/sdb,HUC101212CSS600,KB/s
4730,c220g2-011323,randread,1,/dev/sdc,75,30582.2826667,21749.4,470.18096832,1676.03,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4731,c220g2-011323,randread,4096,/dev/sda4,75,2693.2844,2658.7,140.696178622,174.977,HDD,/dev/sda,HUC101212CSS600,KB/s
4732,c220g2-011323,randread,4096,/dev/sdb,75,2798.8596,2751.28,138.300180584,160.184,HDD,/dev/sdb,HUC101212CSS600,KB/s
4733,c220g2-011323,randread,4096,/dev/sdc,75,303475.066667,303152.0,4220.00567345,4959.8,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4735,c220g2-011323,randwrite,1,/dev/sdb,75,2447.70613333,2232.47,110.573915061,276.14,HDD,/dev/sdb,HUC101212CSS600,KB/s
4736,c220g2-011323,randwrite,1,/dev/sdc,75,80666.6693333,76810.4,1445.29596551,2676.75,SSD,/dev/sdc,INTEL SSDSC2BB48,KB/s
4737,c220g2-011323,randwrite,4096,/dev/sda4,75,2613.35733333,2587.37,149.241961681,188.412,HDD,/dev/sda,HUC101212CSS600,KB/s
4738,c220g2-011323,randwrite,4096,/dev/sdb,75,2663.62813333,2637.2,127.477017949,164.596,HDD,/dev/sdb,HUC101212CSS600,KB/s
4734,c220g2-011323,randwrite,1,/dev/sda4,75,2426.37613333,2232.68,112.430971158,272.8,HDD,/dev/sda,HUC101212CSS600,KB/s
4740,c220g2-011323,read,1,/dev/sda4,75,107432.701333,96479.9,2932.57814574,5243.97,HDD,/dev/sda,HUC101212CSS600,KB/s
